hari_ke,tanggal_lengkap,cabe_rawit_merah,lag_1,lag_3,lag_7,ma_7
219,2023-08-07,37000.0,37000.0,37000.0,30000.0,37857.142857142855
220,2023-08-08,35000.0,37000.0,37000.0,40000.0,37142.857142857145
221,2023-08-09,35000.0,35000.0,37000.0,40000.0,36428.57142857143
222,2023-08-10,35000.0,35000.0,37000.0,37000.0,36142.857142857145
223,2023-08-11,35000.0,35000.0,35000.0,37000.0,35857.142857142855
224,2023-08-12,35000.0,35000.0,35000.0,37000.0,35571.42857142857
225,2023-08-13,35000.0,35000.0,35000.0,37000.0,35285.71428571428
226,2023-08-14,42000.0,35000.0,35000.0,37000.0,36000.0
227,2023-08-15,42000.0,42000.0,35000.0,35000.0,37000.0
228,2023-08-16,42000.0,42000.0,35000.0,35000.0,38000.0
229,2023-08-17,42000.0,42000.0,42000.0,35000.0,39000.0
230,2023-08-18,45000.0,42000.0,42000.0,35000.0,40428.57142857143
231,2023-08-19,45000.0,45000.0,42000.0,35000.0,41857.142857142855
232,2023-08-20,45000.0,45000.0,42000.0,35000.0,43285.71428571428
233,2023-08-21,40000.0,45000.0,45000.0,42000.0,43000.0
234,2023-08-22,40000.0,40000.0,45000.0,42000.0,42714.28571428572
235,2023-08-23,40000.0,40000.0,45000.0,42000.0,42428.57142857143
236,2023-08-24,30000.0,40000.0,40000.0,42000.0,40714.28571428572
237,2023-08-25,30000.0,30000.0,40000.0,45000.0,38571.42857142857
238,2023-08-26,30000.0,30000.0,40000.0,45000.0,36428.57142857143
239,2023-08-27,30000.0,30000.0,30000.0,45000.0,34285.71428571428
240,2023-08-28,30000.0,30000.0,30000.0,40000.0,32857.142857142855
241,2023-08-29,28000.0,30000.0,30000.0,40000.0,31142.85714285714
242,2023-08-30,28000.0,28000.0,30000.0,40000.0,29428.571428571428
243,2023-08-31,28000.0,28000.0,30000.0,30000.0,29142.85714285714
244,2023-09-01,28000.0,28000.0,28000.0,30000.0,28857.14285714286
245,2023-09-02,28000.0,28000.0,28000.0,30000.0,28571.428571428572
246,2023-09-03,28000.0,28000.0,28000.0,30000.0,28285.714285714286
247,2023-09-04,30000.0,28000.0,28000.0,30000.0,28285.714285714286
248,2023-09-05,30000.0,30000.0,28000.0,28000.0,28571.428571428572
249,2023-09-06,30000.0,30000.0,28000.0,28000.0,28857.14285714286
250,2023-09-07,30000.0,30000.0,30000.0,28000.0,29142.85714285714
251,2023-09-08,30000.0,30000.0,30000.0,28000.0,29428.571428571428
252,2023-09-09,30000.0,30000.0,30000.0,28000.0,29714.285714285714
253,2023-09-10,30000.0,30000.0,30000.0,28000.0,30000.0
254,2023-09-11,30000.0,30000.0,30000.0,30000.0,30000.0
255,2023-09-12,23000.0,30000.0,30000.0,30000.0,29000.0
256,2023-09-13,25000.0,23000.0,30000.0,30000.0,28285.714285714286
257,2023-09-14,25000.0,25000.0,30000.0,30000.0,27571.428571428572
258,2023-09-15,25000.0,25000.0,23000.0,30000.0,26857.14285714286
259,2023-09-16,25000.0,25000.0,25000.0,30000.0,26142.85714285714
260,2023-09-17,25000.0,25000.0,25000.0,30000.0,25428.571428571428
261,2023-09-18,27000.0,25000.0,25000.0,30000.0,25000.0
262,2023-09-19,27000.0,27000.0,25000.0,23000.0,25571.428571428572
263,2023-09-20,30000.0,27000.0,25000.0,25000.0,26285.714285714286
264,2023-09-21,26000.0,30000.0,27000.0,25000.0,26428.571428571428
265,2023-09-22,26000.0,26000.0,27000.0,25000.0,26571.428571428572
266,2023-09-23,26000.0,26000.0,30000.0,25000.0,26714.285714285714
267,2023-09-24,26000.0,26000.0,26000.0,25000.0,26857.14285714286
268,2023-09-25,26000.0,26000.0,26000.0,27000.0,26714.285714285714
269,2023-09-26,27000.0,26000.0,26000.0,27000.0,26714.285714285714
270,2023-09-27,25000.0,27000.0,26000.0,30000.0,26000.0
271,2023-09-28,25000.0,25000.0,26000.0,26000.0,25857.14285714286
272,2023-09-29,25000.0,25000.0,27000.0,26000.0,25714.285714285714
273,2023-09-30,25000.0,25000.0,25000.0,26000.0,25571.428571428572
274,2023-10-01,25000.0,25000.0,25000.0,26000.0,25428.571428571428
275,2023-10-02,25000.0,25000.0,25000.0,26000.0,25285.714285714286
276,2023-10-03,32000.0,25000.0,25000.0,27000.0,26000.0
277,2023-10-04,32000.0,32000.0,25000.0,25000.0,27000.0
278,2023-10-05,40000.0,32000.0,25000.0,25000.0,29142.85714285714
279,2023-10-06,40000.0,40000.0,32000.0,25000.0,31285.714285714286
280,2023-10-07,40000.0,40000.0,32000.0,25000.0,33428.57142857143
281,2023-10-08,40000.0,40000.0,40000.0,25000.0,35571.42857142857
282,2023-10-09,37000.0,40000.0,40000.0,25000.0,37285.71428571428
283,2023-10-10,42000.0,37000.0,40000.0,32000.0,38714.28571428572
284,2023-10-11,36000.0,42000.0,40000.0,32000.0,39285.71428571428
285,2023-10-12,36000.0,36000.0,37000.0,40000.0,38714.28571428572
286,2023-10-13,38000.0,36000.0,42000.0,40000.0,38428.57142857143
287,2023-10-14,38000.0,38000.0,36000.0,40000.0,38142.857142857145
288,2023-10-15,38000.0,38000.0,36000.0,40000.0,37857.142857142855
289,2023-10-16,45000.0,38000.0,38000.0,37000.0,39000.0
290,2023-10-17,45000.0,45000.0,38000.0,42000.0,39428.57142857143
291,2023-10-18,45000.0,45000.0,38000.0,36000.0,40714.28571428572
292,2023-10-19,45000.0,45000.0,45000.0,36000.0,42000.0
293,2023-10-20,45000.0,45000.0,45000.0,38000.0,43000.0
294,2023-10-21,46000.0,45000.0,45000.0,38000.0,44142.857142857145
295,2023-10-22,46000.0,46000.0,45000.0,38000.0,45285.71428571428
296,2023-10-23,57000.0,46000.0,45000.0,45000.0,47000.0
297,2023-10-24,57000.0,57000.0,46000.0,45000.0,48714.28571428572
298,2023-10-25,57000.0,57000.0,46000.0,45000.0,50428.57142857143
299,2023-10-26,55000.0,57000.0,57000.0,45000.0,51857.142857142855
300,2023-10-27,65000.0,55000.0,57000.0,45000.0,54714.28571428572
301,2023-10-28,65000.0,65000.0,57000.0,46000.0,57428.57142857143
302,2023-10-29,65000.0,65000.0,55000.0,46000.0,60142.857142857145
303,2023-10-30,70000.0,65000.0,65000.0,57000.0,62000.0
304,2023-10-31,70000.0,70000.0,65000.0,57000.0,63857.142857142855
305,2023-11-01,70000.0,70000.0,65000.0,57000.0,65714.28571428571
306,2023-11-02,63000.0,70000.0,70000.0,55000.0,66857.14285714286
307,2023-11-03,63000.0,63000.0,70000.0,65000.0,66571.42857142857
308,2023-11-04,63000.0,63000.0,70000.0,65000.0,66285.71428571429
309,2023-11-05,63000.0,63000.0,63000.0,65000.0,66000.0
310,2023-11-06,67000.0,63000.0,63000.0,70000.0,65571.42857142857
311,2023-11-07,70000.0,67000.0,63000.0,70000.0,65571.42857142857
312,2023-11-08,72000.0,70000.0,63000.0,70000.0,65857.14285714286
313,2023-11-09,72000.0,72000.0,67000.0,63000.0,67142.85714285714
314,2023-11-10,72000.0,72000.0,70000.0,63000.0,68428.57142857143
315,2023-11-11,72000.0,72000.0,72000.0,63000.0,69714.28571428571
316,2023-11-12,72000.0,72000.0,72000.0,63000.0,71000.0
317,2023-11-13,73000.0,72000.0,72000.0,67000.0,71857.14285714286
318,2023-11-14,75000.0,73000.0,72000.0,70000.0,72571.42857142857
319,2023-11-15,75000.0,75000.0,72000.0,72000.0,73000.0
320,2023-11-16,78000.0,75000.0,73000.0,72000.0,73857.14285714286
321,2023-11-17,78000.0,78000.0,75000.0,72000.0,74714.28571428571
322,2023-11-18,78000.0,78000.0,75000.0,72000.0,75571.42857142857
